Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
283,Satsuma Rebellion,-,-,1877,Japan,Military Rebellion,Kyushu,"A revolt of disaffected samurai against the new imperial government, marking the end of samurai rebellion.","Japanese government, samurai",Saigō Takamori,Negative,"The Satsuma Rebellion, also known as the Seinan War , was a revolt of disaffected samurai against the new imperial government of the Empire of Japan, nine years into the Meiji era. Its name comes from the Satsuma Domain, which had been influential in the Restoration and became home to unemployed samurai after military reforms rendered their status obsolete. The rebellion lasted from 29 January until 24 September of 1877, when it was decisively crushed, and its leader, Saigō Takamori, was shot and mortally wounded."
284,First Sino-Japanese War,-,-,1894,Japan,Military Conflict,"Korea, China","Demonstrated Japan's military dominance in Asia, leading to the acquisition of Taiwan and Korea's independence.",Chinese and Japanese Empires,Meiji Government,Positive,"The First Sino-Japanese War, or the First China–Japan War, was a conflict between the Qing dynasty of China and the Empire of Japan primarily over influence in Korea. In Chinese it is commonly known as the Jiawu War. After more than six months of unbroken successes by Japanese land and naval forces and the loss of the ports of Lüshunkou and Weihaiwei, the Qing government sued for peace in February 1895 and signed the unequal Treaty of Shimonoseki two months later, ending the war."
285,Japan-Korea Annexation Treaty,22,August,1910,Japan,International Agreement,Korea,"Officially annexed Korea, making it a part of the Japanese Empire until the end of World War II.",Korean population,Imperial Japan,Negative,"The Japan–Korea Treaty of 1910, also known as the Japan–Korea Annexation Treaty, was made by representatives of the Empire of Japan and the Korean Empire on 22 August 1910. In this treaty, Japan formally annexed Korea following the Japan–Korea Treaty of 1905 and the Japan–Korea Treaty of 1907."
286,Washington Naval Conference,-,-,1922,Japan,International Relations,Washington D.C.,Led to naval disarmament and attempted to prevent naval arms race among the major powers.,International community,"USA, UK, Japan, France, Italy",Positive,"The Washington Naval Conference was a disarmament conference called by the United States and held in Washington, D.C., from November 12, 1921, to February 6, 1922.
It was conducted outside the auspices of the League of Nations. It was attended by nine nations 
regarding interests in the Pacific Ocean and East Asia.
Germany was not invited to the conference, as restrictions on its navy had already been set in the Versailles Treaty. Soviet Russia was also not invited to the conference."
287,Manchurian Incident,18,September,1931,Japan,Military Aggression,"Manchuria, China","A staged event used by Japan as a pretext to invade Manchuria, leading to the establishment of Manchukuo.",Chinese and Japanese populations,Imperial Japanese Army,Negative,The Mukden incident was a false flag event staged by Japanese military personnel as a pretext for the 1931 Japanese invasion of Manchuria.
288,Marco Polo Bridge Incident,7,July,1937,Japan,Military Conflict,"Near Beijing, China","The start of the full-scale Second Sino-Japanese War, escalating conflict in East Asia.",Chinese and Japanese populations,"Imperial Japanese Army, Chinese forces",Negative,"The Marco Polo Bridge incident, also known as the Lugou Bridge incident or the July 7 incident, was a battle during July 1937 in the district of Beijing between the 29th Army of the National Revolutionary Army of the Republic of China and the Imperial Japanese Army."
289,Japan's Surrender in World War II,2,September,1945,Japan,End of WWII,Tokyo Bay,Marked the end of World War II and the beginning of Japan's post-war reconstruction and pacifism era.,Japanese population,"Emperor Hirohito, Allied Powers",Negative,
290,San Francisco Peace Treaty Signed,8,September,1951,Japan,International Treaty,San Francisco,"Officially ended the state of war between Japan and the Allied Powers, restoring Japan's sovereignty.",Japanese population,Shigeru Yoshida (Prime Minister),Positive,
291,Japan Joins the United Nations,18,December,1956,Japan,International Relations,New York,Marked Japan's return to the international community and its commitment to global peace and cooperation.,Global community,Japanese government,Positive,
292,Income Doubling Plan Announced,-,-,1960,Japan,Economic Policy,Japan,"Aimed at doubling the national income, fueling rapid economic growth and improving living standards.",Japanese citizens,Hayato Ikeda (Prime Minister),Positive,
293,Tokyo Olympics,10,October,1964,Japan,International Sports Event,Tokyo,"Showcased Japan's recovery and modernization to the world, fostering national pride and international goodwill.",Global audience,Japanese government,Positive,"Tokyo Olympics may refer to:1940 Summer Olympics, Games of the XII Olympiad, cancelled due to World War II
1964 Summer Olympics, Games of the XVIII Olympiad
2020 Summer Olympics, Games of the XXXII Olympiad, held in 2021 due to the COVID-19 pandemic."
294,Osaka Expo '70,15,March,1970,Japan,World's Fair,Osaka,Symbolized Japan's cultural and technological advancements on the world stage.,International visitors,Japanese government,Positive,"The Japan World Exposition, Osaka, 1970  or Expo '70 was a world's fair held in Suita, Osaka Prefecture, Japan, between 15 March and 13 September 1970. Its theme was ""Progress and Harmony for Mankind."" In Japanese, Expo '70 is often referred to as Ōsaka Banpaku (大阪万博). It was the first world's fair held in Japan and in Asia."
295,Oil Crisis and Economic Shift,October,-,1973,Japan,Economic Crisis,Japan,Prompted a shift in Japan's economy towards energy-efficient industries and high technology.,Japanese economy,Japanese government,Mixed,
296,Japan-China Joint Communiqué,29,September,1972,Japan,Diplomatic Agreement,Beijing,"Normalized diplomatic relations between Japan and China, ending the post-war state of hostility.",Japanese and Chinese populations,Kakuei Tanaka (Prime Minister),Positive,"The Joint Communique of the Government of Japan and the Government of the People's Republic of China was signed on 29 September 1972 in Beijing. The communique established and normalized diplomatic relations between Japan and the People's Republic of China (PRC), resulted in the severing of official relations between Japan and the Republic of China (ROC) in Taiwan. The document produced nine articles in a joint statement, showing compromises on previously ambiguous principles enunciated by both sides."
298,Heisei Era Begins,8,January,1989,Japan,Era Change,Japan,"The ascension of Emperor Akihito marked the beginning of the Heisei era, symbolizing peace and recovery.",Japanese population,Emperor Akihito,Positive,
299,Great Hanshin Earthquake,17,January,1995,Japan,Natural Disaster,Kobe,"One of the deadliest earthquakes in Japan's history, leading to significant loss of life and damage.",Residents of affected area,-,Negative,"The Great Hanshin Earthquake occurred on January 17, 1995, at 05:46:53 JST in the southern part of Hyōgo Prefecture, Japan, including the region known as Hanshin. It measured 6.9 on the moment magnitude scale and had a maximum intensity of 7 on the JMA Seismic Intensity Scale. The tremors lasted for approximately 20 seconds."
300,Aum Shinrikyo Tokyo Subway Sarin Attack,20,March,1995,Japan,Terrorism,Tokyo,"A deadly terrorist attack by a doomsday cult, shaking public security and trust in authorities.","Commuters, general public",Aum Shinrikyo cult,Negative,
302,Japan's Apology for WWII Aggressions,15,August,1995,Japan,Diplomatic Statement,Japan,Prime Minister Tomiichi Murayama issued a formal apology for Japan's wartime aggressions.,Asian neighbors,Tomiichi Murayama (Prime Minister),Positive,
303,Kyoto Protocol on Climate Change,11,December,1997,Japan,International Agreement,Kyoto,"An international treaty committing its parties to reduce greenhouse gas emissions, based on the premise of global warming.",Global community,International participants,Positive,
305,Fukushima Daiichi Nuclear Disaster,11,March,2011,Japan,Nuclear Accident,Fukushima,"Triggered by a massive earthquake and tsunami, it was one of the worst nuclear disasters in history.","Residents of affected area, global community","TEPCO, Japanese government",Negative,"The Fukushima nuclear accident was a major nuclear accident at the Fukushima Daiichi Nuclear Power Plant in Ōkuma, Fukushima, Japan, which began on 11 March 2011. The cause of the accident was the 2011 Tōhoku earthquake and tsunami, which resulted in electrical grid failure and damaged nearly all of the power plant's backup energy sources. The subsequent inability to sufficiently cool reactors after shutdown compromised containment and resulted in the release of radioactive contaminants into the surrounding environment."
306,Japan-Korea Comfort Women Agreement,28,December,2015,Japan,Diplomatic Agreement,Seoul,"Aimed to resolve the long-standing issue of ""comfort women"" during WWII, though met with criticism and controversy.","Victims, South Korean and Japanese populations","Shinzo Abe (Prime Minister), Park Geun-hye",Mixed,
307,Emperor Akihito's Abdication,30,April,2019,Japan,Historical,Tokyo,"Marked the first abdication of a Japanese emperor in over two centuries, leading to the Reiwa era.",Japanese population,Emperor Akihito,Positive,
308,2020 Tokyo Olympics Postponement,24,March,2020,Japan,International Sports Event,Tokyo,The Olympics were postponed for the first time in history due to the COVID-19 pandemic.,"Global audience, athletes","International Olympic Committee, Japanese government",Mixed,
309,Reiwa Era Begins,1,May,2019,Japan,Era Change,Japan,"The ascension of Emperor Naruhito marked the beginning of the Reiwa era, symbolizing harmony and peace.",Japanese population,Emperor Naruhito,Positive,
310,Arrival of the First Fleet,26,January,1788,Australia,Colonial Settlement,Sydney Cove,"Marked the beginning of British colonization in Australia, leading to the establishment of New South Wales.","Indigenous Australians, British convicts",Captain Arthur Phillip,Mixed,
311,Establishment of the Colony of Van Diemen's Land,-,-,1803,Australia,Colonial Expansion,Tasmania,"Expanded British territorial claims in Australia, significantly impacting the indigenous population.","Tasmanian Aboriginal people, British settlers",British Colonial Administration,Negative,
312,Gold Rushes Begin,-,-,1851,Australia,Economic,"New South Wales, Victoria","Triggered mass migration to Australia, significantly boosting the economy and population.",Australian colonies,Gold prospectors,Positive,
313,Eureka Stockade,3,December,1854,Australia,Rebellion,"Ballarat, Victoria","A miners' rebellion against colonial authorities, considered a pivotal event in the development of democracy in Australia.","Miners, colonial authorities",Peter Lalor,Positive,"The Eureka Rebellion was a series of events involving gold miners who revolted against the British administration of the colony of Victoria, Australia, during the Victorian gold rush. It culminated in the Battle of the Eureka Stockade, which took place on 3 December 1854 at Ballarat between the rebels and the colonial forces of Australia. The fighting resulted in an official total of 27 deaths and many injuries, the majority of casualties being rebels."
314,Establishment of the Commonwealth of Australia,1,January,1901,Australia,Federation,Entire Australia,"Unification of the six colonies into a federated nation, marking the birth of modern Australia.",Australian population,Edmund Barton,Positive,
315,ANZAC troops land at Gallipoli,25,April,1915,Australia,Military,"Gallipoli, Turkey",Marked the first major military action fought by Australian and New Zealand forces during WWI.,ANZAC soldiers,-,Negative,
316,The Great Strike of 1917,-,-,1917,Australia,Labor Movement,Sydney,"One of Australia's largest industrial disputes, affecting the country's economy and labor laws.","Workers, employers",Union leaders,Mixed,
317,Women's Suffrage Achieved,-,-,1902,Australia,Political,Entire Australia,"Granted women the right to vote and stand for parliamentary election, a significant step for women's rights.",Australian women,Women's suffrage activists,Positive,
318,The Great Depression Hits Australia,-,-,1929,Australia,Economic Crisis,Entire Australia,"Severely affected Australia's economy, leading to widespread unemployment and social upheaval.",Australian population,-,Negative,
319,Sydney Harbour Bridge Opens,19,March,1932,Australia,Infrastructure,Sydney,Became a national symbol of Australia and a critical transportation link within Sydney.,Sydney residents,John Bradfield,Positive,
320,Australian Citizenship Act,-,-,1949,Australia,Legal,Entire Australia,"Established Australian citizenship, formally distinguishing Australians from British subjects.",Australian residents,Australian Government,Positive,
321,Darwin Bombing by Japanese Forces,19,February,1942,Australia,Military,"Darwin, Northern Territory","The largest single attack ever mounted by a foreign power on Australia, bringing the realities of WWII to Australian shores.",Residents of Darwin,Imperial Japanese Navy,Negative,
322,Kokoda Trail Campaign,-,-,1942,Australia,Military,Papua New Guinea,"A series of battles fought in the New Guinea campaign of WWII, showcasing the bravery of Australian troops.","Australian soldiers, Papua New Guineans",Australian Army,Positive,"The Kokoda Track campaign or Kokoda Trail campaign was part of the Pacific War of World War II. The campaign consisted of a series of battles fought between July and November 1942 in what was then the Australian Territory of Papua. It was primarily a land battle, between the Japanese South Seas Detachment under Major General Tomitarō Horii and Australian and Papuan land forces under command of New Guinea Force."
323,Australian Involvement in WWII Begins,3,September,1939,Australia,Military,Global,Marked Australia's entry into WWII following the United Kingdom's declaration of war on Nazi Germany.,"Australian military, civilians",Robert Menzies (Prime Minister),Mixed,
324,Myall Creek Massacre,10,June,1838,Australia,Massacre,"Myall Creek, New South Wales",One of the most infamous incidents of violence against Indigenous Australians during the frontier wars.,Wirrayaraay people,European settlers,Negative,The Myall Creek massacre was the killing of at least 28 unarmed Aboriginal people in the Colony of New South Wales by eight colonists on 10 June 1838 at the Myall Creek in the north of the colony. Seven perpetrators were convicted of murder and hanged.
325,The Founding of Melbourne,30,August,1835,Australia,Settlement,"Melbourne, Victoria","Establishment of Melbourne, which would grow to become one of Australia's largest and most influential cities.","Indigenous Australians, settlers","John Batman, settlers",Mixed,
326,The Shearers' Strike,-,-,1891,Australia,Labor Movement,Queensland,"A significant early labor dispute, highlighting the division between workers and employers in rural Australia.","Shearers, pastoralists","Union leaders, Queensland Government",Mixed,
327,Federation of Australia,1,January,1901,Australia,Political,Entire Australia,"Unified the six separate British colonies into a single nation, the Commonwealth of Australia.",Residents of the colonies,Edmund Barton,Positive,"The Federation of Australia was the process by which the six separate British self-governing colonies of Queensland, New South Wales, Victoria, Tasmania, South Australia, and Western Australia agreed to unite and form the Commonwealth of Australia, establishing a system of federalism in Australia. The colonies of Fiji and New Zealand were originally part of this process, but they decided not to join the federation. Following federation, the six colonies that united to form the Commonwealth of Australia as states kept the systems of government that they had developed as separate colonies, but they also agreed to have a federal government that was responsible for matters concerning the whole nation."
328,Australian Imperial Force's Formation,-,-,1914,Australia,Military Formation,Australia,Formation of the AIF marked Australia's preparation for participation in WWI.,Australian volunteers,Australian Government,Mixed,
329,Black Friday Bushfires,13,January,1939,Australia,Natural Disaster,Victoria,"One of Australia's worst natural disasters, leading to significant loss of life and property.",Residents of Victoria,-,Negative,
330,Signing of the ANZUS Treaty,1,September,1951,Australia,International Relations,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States, strengthening ties with the US.",Australian citizens,Robert Menzies (Prime Minister),Positive,
331,Mabo v Queensland Decision,3,June,1992,Australia,Legal Land Rights,High Court of Australia,"Recognized Native Title in Australia, overturning the doctrine of terra nullius and acknowledging Indigenous land rights.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive,
332,Introduction of the Universal Health Care System,-,-,1975,Australia,Health Policy,Nationwide,"Established Medicare, providing access to free or subsidised medical care for Australian citizens.",Australian citizens,Gough Whitlam (Prime Minister),Positive,
333,Sydney Opera House Opens,20,October,1973,Australia,Cultural Infrastructure,Sydney,"Became an iconic symbol of Australia and a major cultural venue, enhancing the country's global cultural stature.",International and local visitors,"Queen Elizabeth II, Jørn Utzon",Positive,
334,1967 Referendum on Indigenous Australians,27,May,1967,Australia,Political/Legal,Nationwide,Amended the constitution to include Indigenous Australians in censuses and allow the federal government to create laws for them.,"Indigenous Australians, Australian voters","Australian Government, Indigenous activists",Positive,
335,Australia's Involvement in the Vietnam War,-,-,1962,Australia,Military Conflict,Vietnam,Marked significant military engagement abroad and sparked domestic debate and protest movements.,"Australian soldiers, civilians",Robert Menzies (Prime Minister),Mixed,
336,Whitlam Government's Dismissal,11,November,1975,Australia,Political Crisis,Canberra,A constitutional crisis that led to the dismissal of the Whitlam government by the Governor-General.,Australian citizens,"Gough Whitlam, Sir John Kerr",Negative,
337,Port Arthur Massacre,28,April,1996,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard (Prime Minister),Positive,"Port Arthur massacre may refer to:Port Arthur massacre (China), an 1894 event in which Japanese troops killed several thousand Chinese in the Liaodong Peninsula
Port Arthur massacre (Australia), a 1996 shooting spree in Tasmania, resulting in stronger gun control

."
338,Australia Act 1986,3,March,1986,Australia,Constitutional/Legal,"Canberra, London","Severed the remaining constitutional links between Australia and the United Kingdom, establishing full sovereignty.",Australian citizens,"Australian Government, British Government",Positive,"The Australia Act 1986 is the short title of each of a pair of separate but related pieces of legislation: one an act of the Parliament of Australia, the other an act of the Parliament of the United Kingdom. In Australia they are referred to, respectively, as the Australia Act 1986 (Cth) and the Australia Act 1986 (UK). These nearly identical Acts were passed by the two parliaments, because of uncertainty as to whether the Commonwealth Parliament alone had the ultimate authority to do so."
339,Apology to Australia's Indigenous Peoples,13,February,2008,Australia,Political,Canberra,"The Australian government formally apologised to the Indigenous Australians for past injustices, particularly the Stolen Generations.",Indigenous Australians,Kevin Rudd (Prime Minister),Positive,
340,Korean War Involvement,-,-,1950,Australia,Military Conflict,Korea,"Marked Australia's participation in UN forces during the Korean War, emphasizing its commitment to global security.","Australian military, Korean civilians",Australian Government,Mixed,
341,ANZUS Treaty Signing,1,September,1951,Australia,International Relations,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States.",Australian citizens,Robert Menzies,Positive,
342,Vietnam War Involvement,-,-,1962,Australia,Military Conflict,Vietnam,Australia's involvement in Vietnam War sparked national debate and protest movements.,"Australian military, Vietnamese civilians",Australian Government,Negative,
343,Aboriginal Land Rights Act,-,-,1976,Australia,Legal/Political,Northern Territory,"A landmark in Indigenous rights, allowing Aboriginal Australians to claim land rights in the Northern Territory.",Indigenous Australians,Australian Government,Positive,"The Aboriginal Land Rights Act 1976 (ALRA) is Australian federal government legislation that provides the basis upon which Aboriginal Australian people in the Northern Territory can claim rights to land based on traditional occupation. It was the first law by any Australian government that legally recognised the Aboriginal system of land ownership, and legislated the concept of inalienable freehold title, as such was a fundamental piece of social reform. Its long title is An Act providing for the granting of Traditional Aboriginal Land in the Northern Territory for the benefit of Aboriginals, and for other purposes."
344,Sydney Opera House Opens,20,October,1973,Australia,Cultural Infrastructure,Sydney,"Became a national icon and a major cultural hub, symbolizing Australia's architectural and artistic prowess.",Global and local visitors,Jørn Utzon,Positive,
345,Whitlam Government Dismissal,11,November,1975,Australia,Political Crisis,Canberra,"A constitutional crisis that led to the dismissal of the Whitlam government, highlighting the power of the Governor-General.",Australian citizens,"Gough Whitlam, Sir John Kerr",Negative,
346,Australia Acts 1986,-,-,1986,Australia,Legal/Constitutional,"Australia, UK","Ended the British Parliament's ability to legislate for Australia, finalizing legal independence.",Australian citizens,Australian Government,Positive,"The Australia Act 1986 is the short title of each of a pair of separate but related pieces of legislation: one an act of the Parliament of Australia, the other an act of the Parliament of the United Kingdom. In Australia they are referred to, respectively, as the Australia Act 1986 (Cth) and the Australia Act 1986 (UK). These nearly identical Acts were passed by the two parliaments, because of uncertainty as to whether the Commonwealth Parliament alone had the ultimate authority to do so."
347,Mabo Decision by the High Court,3,June,1992,Australia,Legal Land Rights,Australia,"Recognized native title in Australia, overturning the doctrine of terra nullius.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive,
348,Port Arthur Massacre,28,April,1996,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard,Positive,"Port Arthur massacre may refer to:Port Arthur massacre (China), an 1894 event in which Japanese troops killed several thousand Chinese in the Liaodong Peninsula
Port Arthur massacre (Australia), a 1996 shooting spree in Tasmania, resulting in stronger gun control

."
349,Sydney 2000 Summer Olympics,15,September,2000,Australia,International Sports Event,Sydney,"Showcased Australia's cultural diversity and hospitality, enhancing its global image.",Global audience,Australian Government,Positive,"The 2000 Summer Olympics, officially the Games of the XXVII Olympiad, officially branded as Sydney 2000, and also known as the Games of the New Millennium, were an international multi-sport event held from 15 September to 1 October 2000 in Sydney, New South Wales, Australia. It marked the second time the Summer Olympics were held in Australia, and in the Southern Hemisphere, the first being in Melbourne, in 1956."
350,Apology to the Stolen Generations,13,February,2008,Australia,Political,Canberra,The government formally apologized for the forced removal of Indigenous children from their families.,Indigenous Australians,Kevin Rudd,Positive,"The Stolen Generations were the children of Australian Aboriginal and Torres Strait Islander descent who were removed from their families by the Australian federal and state government agencies and church missions, under acts of their respective parliaments. The removals of those referred to as ""half-caste"" children were conducted in the period between approximately 1905 and 1967, although in some places mixed-race children were still being taken into the 1970s."
351,Introduction of Goods and Services Tax (GST),1,July,2000,Australia,Economic Policy,Australia,"Implemented a comprehensive tax system reform, affecting consumption taxation nationwide.",Australian consumers,John Howard,Mixed,
352,Same-Sex Marriage Legalization,7,December,2017,Australia,Legal/Social,Australia,"Legalized same-sex marriage, marking a significant advancement in LGBTQ+ rights.",LGBTQ+ Australians,Australian Parliament,Positive,
353,"""Tampa"" Refugee Crisis",-,August,2001,Australia,Humanitarian/Political,Indian Ocean,Sparked national and international debate on Australia's asylum seeker policies.,Asylum seekers,John Howard,Negative,
354,Black Saturday Bushfires,7,February,2009,Australia,Natural Disaster,Victoria,"One of the deadliest bushfires in Australian history, leading to significant loss of life and property.",Residents of Victoria,State Government of Victoria,Negative,
355,Repeal of Carbon Tax,17,July,2014,Australia,Environmental/Economic Policy,Australia,The removal of the carbon tax was a controversial environmental and economic policy change.,Australian citizens,Tony Abbott,Negative,
356,Royal Commission into Institutional Responses...,-,-,2013,Australia,Legal Inquiry,Australia,"Investigated abuse in institutions, leading to widespread reforms and apologies to victims.",Abuse survivors,Australian Government,Positive,
357,Australia's First Female Prime Minister,24,June,2010,Australia,Political Milestone,Australia,"Julia Gillard became the first female Prime Minister, representing a historic moment in Australian politics.",Australian citizens,Julia Gillard,Positive,
358,Signing of the Treaty of Waitangi,6,February,1840,New Zealand,Foundational Document,Waitangi,"Established a British Governor in New Zealand, granting the Crown the right to buy land from Māori and offering Māori the rights of British subjects.","Māori, European settlers","William Hobson, Māori chiefs",Mixed,
359,New Zealand Wars,-,-,1845,New Zealand,Military Conflict,Various locations,"A series of conflicts primarily between Colonial government forces and various Māori iwi, affecting sovereignty and land ownership.","Māori, European settlers","Various Māori iwi, British military",Negative,"The New Zealand Wars took place from 1845 to 1872 between the New Zealand colonial government and allied Māori on one side, and Māori and Māori-allied settlers on the other. Though the wars were initially localised conflicts triggered by tensions over disputed land purchases, they escalated dramatically from 1860 as the government became convinced it was facing united Māori resistance to further land sales and a refusal to acknowledge Crown sovereignty. The colonial government summoned thousands of British troops to mount major campaigns to overpower the Kīngitanga movement and also conquest of farming and residential land for British settlers."
360,Gold Rushes Begin,-,-,1861,New Zealand,Economic Boom,"Otago, West Coast","Sparked significant economic growth and an influx of settlers, changing the demographic and economic landscape.","European settlers, Māori",-,Positive,
361,Introduction of the New Zealand Constitution Act,-,-,1852,New Zealand,Political Framework,-,"Granted self-government to New Zealand, allowing for the establishment of a central government and provincial governments.",New Zealanders,British Parliament,Positive,
362,Women's Suffrage Achieved,19,September,1893,New Zealand,Social Reform,-,Made New Zealand the first self-governing country in the world to grant all women the right to vote in parliamentary elections.,Women in New Zealand,"Kate Sheppard, Suffragette movement",Positive,
363,Creation of the Welfare State,-,-,1938,New Zealand,Social Policy,-,"Introduction of social security and welfare policies, providing support for the elderly, unemployed, and sick.",New Zealanders,"Michael Joseph Savage, Labour Government",Positive,
364,Māori Seats Established in Parliament,-,-,1867,New Zealand,Political Inclusion,-,"Established separate electoral representation for Māori, recognising Māori as a distinct political group.",Māori,New Zealand Government,Positive,
365,Mount Tarawera Eruption,10,June,1886,New Zealand,Natural Disaster,Tarawera,"The deadliest volcanic eruption in New Zealand's history, causing significant loss of life and destruction.",Residents near Tarawera,-,Negative,
366,Refrigerated Shipping Invented,-,-,1882,New Zealand,Economic Innovation,-,"Enabled the export of meat and dairy products to Britain, revolutionizing New Zealand's economy.",New Zealand economy,"William Davidson, Thomas Brydone",Positive,
367,Anzac Forces Land at Gallipoli,25,April,1915,New Zealand,Military Campaign,"Gallipoli, Turkey","Marked New Zealand's significant involvement in World War I, impacting national identity and commemorations.",ANZAC soldiers,-,Negative,
368,Labour Party Elected for the First Time,-,-,1935,New Zealand,Political Change,-,"Brought the Labour Party to power, leading to significant social and economic reforms, including the creation of a welfare state.",New Zealanders,Michael Joseph Savage,Positive,
369,Ratana Movement Political Involvement,-,-,1920,New Zealand,Political/Religious Movement,-,The movement's alignment with the Labour Party influenced Māori political engagement and policy development.,Māori,T.W. Ratana,Positive,
370,Social Security Act Passed,-,-,1938,New Zealand,Social Welfare,-,"Established a comprehensive welfare system, providing support for the elderly, unemployed, and sick.",New Zealanders,Labour Government,Positive,
371,New Zealand Expeditionary Force in WWII,-,-,1939,New Zealand,Military Conflict,"Europe, Pacific","Significant contribution to the Allied forces during World War II, affecting thousands of New Zealanders.","Military personnel, civilians",New Zealand Government,Mixed,
372,National Party Founded,-,-,1936,New Zealand,Political Party Formation,-,"The founding of the National Party, becoming a major political force and alternative to the Labour Party.",New Zealanders,Adam Hamilton,Positive,
373,State Housing Introduced,-,-,1937,New Zealand,Housing Policy,-,"Initiated a government program to provide quality public housing, improving living standards for many.",Low-income families,Labour Government,Positive,
374,Waitangi Day Established,-,-,1934,New Zealand,National Commemoration,Waitangi,"Commemorated the signing of the Treaty of Waitangi, though it didn't become a public holiday until later.",New Zealanders,New Zealand Government,Positive,
375,1st Labour Government Elected,-,-,1935,New Zealand,Election,-,"The Labour Party's election led to significant social and economic reforms, including the establishment of a welfare state.",New Zealanders,Michael Joseph Savage,Positive,
376,Compulsory Military Training Introduced,-,-,1949,New Zealand,Defense Policy,-,"Aimed to prepare the population for potential military conflicts, reflecting the global tensions of the time.",Young male citizens,New Zealand Government,Mixed,
377,Construction of Auckland Harbour Bridge,-,-,1950,New Zealand,Infrastructure Development,Auckland,"Improved transportation between Auckland city and the North Shore, contributing to the city's expansion.",Auckland residents,New Zealand Government,Positive,
378,Treaty of Waitangi Act 1975,-,-,1975,New Zealand,Legal/Political,New Zealand,"Established the Waitangi Tribunal to address breaches of the Treaty, acknowledging Māori grievances over land and rights.","Māori, New Zealanders",New Zealand Government,Positive,"The Treaty of Waitangi Act 1975 gave the Treaty of Waitangi recognition in New Zealand law for the first time and established the Waitangi Tribunal. The tribunal is empowered to investigate possible breaches of the principles of the Treaty of Waitangi by the New Zealand Government or any state-controlled body, occurring after 1975. It was also empowered to recommend, but not enforce, remedies."
379,ANZUS Treaty Suspension,-,-,1986,New Zealand,International Relations,New Zealand,"New Zealand's anti-nuclear stance led to a suspension from the ANZUS security treaty, affirming its nuclear-free policy.",New Zealanders,David Lange,Positive,
380,Introduction of Nuclear Free Zone,8,June,1987,New Zealand,Policy/Legislation,New Zealand,"Legislated New Zealand as a nuclear-free zone, prohibiting nuclear weapons and power plants within the country.",New Zealanders,New Zealand Government,Positive,
381,Homosexual Law Reform Act,9,July,1986,New Zealand,Social Policy,New Zealand,"Decriminalized homosexuality, marking a significant step towards LGBTQ+ rights in New Zealand.","LGBTQ+ Community, New Zealanders",New Zealand Government,Positive,"The Homosexual Law Reform Act 1986 is a New Zealand Act of Parliament that broadly legalised consensual sexual practices between men as well as consensual anal sex regardless of partners' gender. It removed the provisions of the Crimes Act 1961 that criminalised this behaviour. The legislation established a uniform age of consent, setting it at 16 for both same-sex and opposite-sex partners."
382,Rogernomics Initiatives Begin,-,-,1984,New Zealand,Economic Policy,New Zealand,"Economic reforms aimed at liberalizing the economy, introducing free-market policies.",New Zealanders,Roger Douglas,Mixed,
383,Resource Management Act Enacted,-,-,1991,New Zealand,Environmental Legislation,New Zealand,"Provided a framework for managing New Zealand's natural and physical resources, emphasizing sustainability.",New Zealanders,New Zealand Government,Positive,
384,1981 Springbok Tour Protests,-,-,1981,New Zealand,Social Unrest,New Zealand,Anti-apartheid protests against the South African rugby team's tour highlighted civil rights and anti-racism issues.,"Protesters, rugby fans",Anti-Apartheid Movements,Mixed,
385,Waitangi Tribunal Established,-,-,1975,New Zealand,Judicial/Political,New Zealand,"Investigated historical breaches of the Treaty of Waitangi, offering a legal avenue for Māori to seek redress.",Māori,New Zealand Government,Positive,
386,2011 Christchurch Earthquake,22,February,2011,New Zealand,Natural Disaster,Christchurch,"A devastating earthquake that caused significant loss of life and damage, impacting the nation's resilience and urban planning.","Christchurch residents, New Zealanders",-,Negative,"A major earthquake occurred in Christchurch on Tuesday 22 February 2011 at 12:51 p.m. local time. The Mw6.2 earthquake struck the Canterbury Region in the South Island, centred 6.7 kilometres (4.2 mi) south-east of the central business district."
387,Foreshore and Seabed Controversy,-,-,2004,New Zealand,Legal/Political,New Zealand,"Sparked debate over Māori customary rights to the foreshore and seabed, leading to political and legal reform.","Māori, New Zealanders",New Zealand Government,Mixed,
388,New Zealand's First Female Prime Minister,5,December,1997,New Zealand,Political Milestone,New Zealand,"Jenny Shipley became the first female Prime Minister, marking a significant moment in New Zealand's political history.",New Zealanders,Jenny Shipley,Positive,
389,Anti-Nuclear Legislation Enacted,-,-,1987,New Zealand,Environmental Policy,New Zealand,"Cemented New Zealand's stance on remaining nuclear-free, influencing international relations and environmental policy.",New Zealanders,New Zealand Government,Positive,
